demand_desc,major_desc,sub_major_desc,minor_desc,sub_minor_desc
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON MIDDLE SCHOOL UNDER M.N.P [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON HIGH SCHOOLS OTHER THAN M.N.P. [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON CONSTRUCTION OF GIRLS TOILET [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,RASHTRIYA MADHYAMIK SHIKSHA ABHIYAN [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,GIA TO SECONDARY EDUCATION UNDER PTA [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,GIA TO SCHOOL MANAGEMENT COMMITTEE [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,PRE-MATRIC SCHOLARSHIP FOR SCHEDULED TRIBE STUDENTS [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,EKLAVYA MODEL RESIDENTIAL SCHOOLS FOR ST STUDENTS UNDER ARTICLE 275(1) [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,FREE HOSTELS FOR ST STUDENTS IN TRIBAL AREAS [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,GIA TO INFORMATION AND COMMUNICATION TECHNOLOGY (PHASE I&II) [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON DEGREE COLLEGES [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,TRIBAL AREA SUB PLAN,G.I.A. TO H.P. UNIVERSITY [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,TRIBAL AREA SUB PLAN,RASHTRIY UCHHTAR SHIKSHA ABHIYAN [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,LANGUAGE DEVELOPMENT,TRIBAL AREA SUB PLAN,EXPENDITURE ON DEVELOPMENT OF HINDI [S00N]
TRIBAL DEVELOPMENT,WELFARE OF SCHEDULED CASTES SC,WELFARE OF SCHEDULED TRIBES,TRIBAL AREA SUB PLAN,MUKHYA MANTRI BAL UDDHAR YOJNA (ASHRAM SCHOOL) [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,TRIBAL AREAS SUB PLAN,BUILDINGS [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,TRIBAL AREAS SUB PLAN,CONSTRUCTION OF MIDDLE SCHOOL BUILDINGS. [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,TRIBAL AREAS SUB PLAN,COLLEGE BUILDINGS [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,TRIBAL AREA SUB PLAN,BUILDINGS [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,TRIBAL AREA SUB PLAN,EXPENDITURE ON MOUNTAINEERING AND ALLIED SPORTS BUILDINGS [S00N]
TRIBAL DEVELOPMENT,CAPITAL OUTLAY  ON EDUCATION S,ART & CULTURE,TRIBAL AREA SUB PLAN,BUILDINGS [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,EXPENDITURE ON PRIMARY SCHOOLS [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,MIDDLE SCHOOL [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,MID DAY MEAL [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,SARV SHIKSHA ABHIYAN [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,EXPENDITURE ON GRANT IN AID TO PTA [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,PRE-MATRIC SCHOLARSHIP TO SCHEDULED CASTE [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,GIA TO SMC [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,DIET [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,REPAIR/MAINTENANCE OF PRIMARY/MIDDLE SCHOOLS BUILDINGS [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,URDU & PUNJABI TEACHERS [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,SECONDARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,SECONDARY SCHOOLS [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,SECONDARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,RASHTRIYA MADHYAMIC SHIKSHA ABHIYAN [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,SECONDARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,EXPENDITURE ON INFORMATION AND COMMUNICATION TECHNOLOGY [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,SECONDARY EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,GRANTS-IN-AID TO PTA [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,GRANT IN AID TO H.P. UNIVERSITY SHIMLA [S00N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,POST MATRIC SCHOLARSHIP TO SCHEDULED CASTE STUDENTS [S10N]
SCHEDULED CASTES SUB PLAN,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,RASHTRIYA UCHCHTAR SHIKSAH ABHIYAN (RUSA) [S10N]
SCHEDULED CASTES SUB PLAN,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,BUILDING(SECONDARY EDUCATION) [S00N]
SCHEDULED CASTES SUB PLAN,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,BUILDINGS (MIDDLE SCHOOLS) [S00N]
SCHEDULED CASTES SUB PLAN,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,C/O COLLEGE BUILDINGS [S00N]
SCHEDULED CASTES SUB PLAN,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,BUILDINGS [S00N]
SCHEDULED CASTES SUB PLAN,CAPITAL OUTLAY  ON EDUCATION S,ART & CULTURE,SPECIAL COMPONENT PLAN FOR SCHEDULED CASTES,BUILDINGS/MULTIPURPOSE CULTURAL COMPLEX [S00N]
