demand_desc,major_desc,sub_major_desc,minor_desc,sub_minor_desc
EDUCATION,PUBLIC WORKS,OFFICE BUILDINGS,MAINTENANCE AND REPAIRS,MAINTENANCE OF PRIMARY SCHOOL BUILDINGS. [S00N]
EDUCATION,PUBLIC WORKS,OFFICE BUILDINGS,MAINTENANCE AND REPAIRS,MAINTENANCE OF HIGHER EDUCATION BUILDINGS. [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,DIRECTION AND ADMINISTRATION,DIRECTORATE [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,GOVERNMENT PRIMARY SCHOOLS,EXPENDITURE ON EDUCATION [S00B]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,GOVERNMENT PRIMARY SCHOOLS,MIDDLE SCHOOL [S00B]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,GOVERNMENT PRIMARY SCHOOLS,EXPENDITURE ON URDU AND PUNJABI TEACHERS [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,ASSISTANCE TO NON-GOVERNMENT PRIMARY SCHOOLS,NON GOVERNMENT PRIMARY SCHOOL [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,INSPECTION,DISTRICT PRIMARY EDUCATION OFFICER [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,INSPECTION,BLOCK PRIMARY EDUCATION OFFICER [S00N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,TEACHERS TRAINING,EXPENDITURE ON DISTRICT INSTITUTES OF EDUCATION AND TRAINING [S10N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,Sarav Shiksha Abhyan,GRANT- IN- AID- UNDER SARAV SHIKSHA ABHYAN [S10N]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,OTHER EXPENDITURE,MID DAY MEAL [S10B]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,OTHER EXPENDITURE,GRANT-IN-AID TO ELEMENTARY EDUCATION UNDER P.T.A. [S00B]
EDUCATION,GENERAL EDUCATION,ELEMENTARY EDUCATION,OTHER EXPENDITURE,GIA TO SCHOOL MANAGMENT COMMITTEE [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,DIRECTION & ADMINISTRATION,DIRECTORATE [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,INSPECTION,INSPECTORATE [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,SECONDARY SCHOOLS [S00B]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,INFORMATION & COMMUNICATION TECHNOLOGY PROGRAMME [S10N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,RASHTRYA MADHYAMIC SHIKSHA ABHIYAN [S10N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,TEACHER EDUCATION PROGRAMME [S10N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,GIA TO SCHOOL MANAGEMENT COMMITTEE [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,MEDHA PROTSAHAN YOJNA [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,ASSISTANCE TO NON GOVERNMENT SECONDARY SCHOOLS,NON GOVERNMENT SECONDARY SCHOOLS [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,OTHER EXPENDITURE,GRANT-IN-AID TO SECONDARY EDUCATION UNDER P.T.A. [S00N]
EDUCATION,GENERAL EDUCATION,SECONDARY EDUCATION,OTHER EXPENDITURE,EXPENDITURE ON ACCOUNT OF INSPECTION OF PRIVATE INSTITUTIONS. [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,ASSISTANCE TO UNIVERSITIES,HIMACHAL PRADESH UNIVERSITY [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,GOVERNMENT COLLEGES & INSTITUTES,GOVERNMENT COLLEGES [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,GOVERNMENT COLLEGES & INSTITUTES,TRAINING COLLEGES [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,GOVERNMENT COLLEGES & INSTITUTES,RASHTRIYA UCHCHATAR SHIKSHA ABHIYAN (RUSA) [S10N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,GOVERNMENT COLLEGES & INSTITUTES,OPENING OF FINE ART COLLEGE [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,ASSISTANCE TO NON GOVERNMENT COLLEGES & INSTITUTES.,ASSISTANCE TO PRIVATE COLLEGES [S00N]
EDUCATION,GENERAL EDUCATION,UNIVERSITY AND HIGHER EDUCATION,OTHER EXPENDITURE,GRANT-IN-AID TO GOVT. COLLEGES UNDER P.T.A. [S00N]
EDUCATION,GENERAL EDUCATION,LANGUAGE DEVELOPMENT,SANSKRIT EDUCATION,MODERNISATION OF SANSKRIT PATHSHALAS [S00N]
EDUCATION,GENERAL EDUCATION,LANGUAGE DEVELOPMENT,OTHER EXPENDITURE,G.I.A TO NON GOVT.SANSKRIT PATHSHALAS [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,RESEARCH,EDUCATION TECHNOLOGY PROGRAMME [C00N]
EDUCATION,GENERAL EDUCATION,GENERAL,SCHOLARSHIPS,POST MATRIC SCHOLARSHIP TO OBC STUDENTS [S10N]
EDUCATION,GENERAL EDUCATION,GENERAL,SCHOLARSHIPS,PRE-MATRIC SCHOLARSHIP TO OBC STUDENTS [S10N]
EDUCATION,GENERAL EDUCATION,GENERAL,SCHOLARSHIPS,KALPANA CHAWALA CHATRAVRITI YOJNA [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,SCHOLARSHIPS,MUKHYA MANTRI PROTSAHAN YOJNA [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,SCHOLARSHIPS,SCHOLARSHIP FOR ECONOMICALLY BACKWARD CLASSES GENERAL STUDENTS [C00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,NCC GENERAL ESTABLISHMENT [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,NCC ANNUAL CAMP [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,EXPENDITURE ON SAINIK SCHOOLS [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,G.I.A.TO SPORTS ASSOCIATION [S00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,ENVIRONMENTAL ORIENTATION TO SCHOOL EDUCATION [C00N]
EDUCATION,GENERAL EDUCATION,GENERAL,OTHER EXPENDITURE,STATE COUNCIL OF EDUCATION RESEARCH AND TRAINING  SOLAN [S00N]
EDUCATION,SOCIAL SECURITY AND WELFARE,SOCIAL WELFARE,WELFARE OF HANDICAPPED,WELFARE OF HANDICAPPED CHILDREN [C00N]
EDUCATION,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,ELEMENTARY EDUCATION,BUILDING [S00N]
EDUCATION,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SECONDARY EDUCATION,BUILDING [S00N]
EDUCATION,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SECONDARY EDUCATION,CONSTRUCTION OF GIRLS HOSTEL IN EDUCATIONALLY BACKWARD BLOCKS IN GENERAL AREA [S10N]
EDUCATION,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,UNIVERSITY & HIGHER EDUCATION,BUILDING [S00N]
EDUCATION,LOANS FOR EDUCATION SPORTS  AR,GENERAL EDUCATION,UNIVERSITY & HIGHER EDUCATION,LOAN TO HP PVT. INSTITUTIONAL REGULATORY COMMISSION [S00N]
HEALTH AND FAMILY WELFARE,MEDICAL AND PUBLIC HEALTH,URBAN HEALTH SERVICES- ALLOPATHY,SCHOOL HEALTH SCHEME,SCHOOL HEALTH SERVICES [S00N]
PLANNING AND BACKWARD AREA SUB-PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,GOVERNMENT PRIMARY SCHOOLS,EXPENDITURE ON EDUCATION [S00B]
PLANNING AND BACKWARD AREA SUB-PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,GOVERNMENT PRIMARY SCHOOLS,MIDDLE SCHOOL [S00B]
PLANNING AND BACKWARD AREA SUB-PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,OTHER EXPENDITURE,MID DAY MEAL [S10B]
PLANNING AND BACKWARD AREA SUB-PLAN,GENERAL EDUCATION,ELEMENTARY EDUCATION,OTHER EXPENDITURE,GRANT-IN-AID TO ELEMENTARY EDUCATION UNDER P.T.A. [S00B]
PLANNING AND BACKWARD AREA SUB-PLAN,GENERAL EDUCATION,SECONDARY EDUCATION,GOVERNMENT SECONDARY SCHOOLS,SECONDARY SCHOOLS [S00B]
PLANNING AND BACKWARD AREA SUB-PLAN,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,ELEMENTARY EDUCATION,CONSTRUCTION OF BUILDINGS [S00B]
PLANNING AND BACKWARD AREA SUB-PLAN,CAPITAL OUTLAY  ON EDUCATION S,GENERAL EDUCATION,SECONDARY EDUCATION,CONSTRUCTION OF BUILDINGS [S00B]
SOCIAL JUSTICE AND EMPOWERMENT,SOCIAL SECURITY AND WELFARE,OTHER SOCIAL SECURITY AND WELFARE PROGRAMMES,OTHER EXPENDITURES,PENSIONERS OF SECONDAY EDUCATION DEPARTMENT [S00N]
SOCIAL JUSTICE AND EMPOWERMENT,SOCIAL SECURITY AND WELFARE,OTHER SOCIAL SECURITY AND WELFARE PROGRAMMES,OTHER EXPENDITURES,PENSIONERS OF ELEMENTARY EDUCATION [S00N]
MISCELLANEOUS GENERAL SERVICES,GENERAL EDUCATION,LANGUAGE DEVELOPMENT,DIRECTION & ADMINISTRATION,DIRECTORATE [S00N]
MISCELLANEOUS GENERAL SERVICES,GENERAL EDUCATION,LANGUAGE DEVELOPMENT,PROMOTION OF MODERN INDIAN LANGUAGES & LITERATURE,DEVELOPMENT OF HINDI [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,YOUTH HOSTELS,BUILDING [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,SPORTS STADIA,MULTIPURPOSE SPORTS COMPLEX [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,SPORTS & YOUTH SERVICES,SPORTS STADIA,MUKHYA MANTRI KHEL VIKAS YOJNA [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,ART & CULTURE,MUSEUMS,BUILDING [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,ART & CULTURE,OTHER EXPENDITURE,BUILDING [S00N]
MISCELLANEOUS GENERAL SERVICES,CAPITAL OUTLAY  ON EDUCATION S,ART & CULTURE,OTHER EXPENDITURE,INDOOR AUDITORIUM FOR CULTURAL ACTIVITIES [S00N]
TRIBAL DEVELOPMENT,PUBLIC WORKS,GENERAL,TRIBAL AREA SUB PLAN,MAINTENANCE OF PRIMARY/MIDDLE SCHOOLS [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON DISTRICT PRIMARY EDUCATION OFFICES AND STAFF [S00NM]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON BLOCK PRIMARY EDUCATION OFFICERS AND STAFF [S00NM]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON PRIMARY SCHOOLS [S00NM]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON D.I.E.T.S. [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,EXP.ON PRY.EDUCATION [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,GRANT IN AID TO ELEMENTARY EDUCATION UNDER PTA [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,HOT COOKED MEAL  MID DAY MEAL [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,SARV SHIKSHA ABHIYAN [S10N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,ELEMENTARY EDUCATION,TRIBAL AREA SUB PLAN,GIA TO SCHOOL MANAGEMENT COMMITTEE [S00N]
TRIBAL DEVELOPMENT,GENERAL EDUCATION,SECONDARY EDUCATION,TRIBAL AREA SUB PLAN,EXPENDITURE ON DISTRICT EDUCATION OFFICER AND STAFF [S00N]
